lang,problem,model,experiment,pass@1,pass@10,pass@100
rs,HumanEval_91_is_bored,davinci,reworded,0.11,0.41,1.00
rb,HumanEval_15_string_sequence,davinci,reworded,1.00,1.00,1.00
ts,HumanEval_155_even_odd_count,davinci,keep,0.00,NA,NA
cpp,HumanEval_100_make_a_pile,davinci,transform,0.10,NA,NA
php,HumanEval_54_same_chars,incoder,reworded,0.00,0.10,0.75
sh,HumanEval_105_by_length,davinci,keep,0.00,NA,NA
ts,HumanEval_75_is_multiply_prime,davinci,remove,0.14,NA,NA
java,HumanEval_127_intersection,incoder,remove,0.00,NA,NA
cpp,HumanEval_119_match_parens,incoder,remove,0.00,NA,NA
jl,HumanEval_136_largest_smallest_integers,incoder,remove,0.00,NA,NA
php,HumanEval_146_specialFilter,davinci,reworded,0.22,0.99,1.00
jl,HumanEval_92_any_int,davinci,remove,0.00,NA,NA
scala,HumanEval_100_make_a_pile,incoder,remove,0.00,NA,NA
swift,HumanEval_125_split_words,incoder,remove,0.00,NA,NA
jl,HumanEval_57_monotonic,incoder,transform,0.00,NA,NA
pl,HumanEval_2_truncate_number,davinci,transform,0.98,NA,NA
pl,HumanEval_126_is_sorted,incoder,remove,0.00,NA,NA
php,HumanEval_56_correct_bracketing,incoder,reworded,0.00,0.00,0.00
scala,HumanEval_23_strlen,incoder,keep,0.15,NA,NA
cpp,HumanEval_106_f,incoder,transform,0.00,NA,NA
r,HumanEval_148_bf,davinci,keep,0.00,NA,NA
swift,HumanEval_96_count_up_to,davinci,keep,0.01,NA,NA
java,HumanEval_99_closest_integer,incoder,reworded,0.00,0.00,0.00
scala,HumanEval_63_fibfib,davinci,transform,0.06,NA,NA
php,HumanEval_64_vowels_count,incoder,remove,0.00,NA,NA
js,HumanEval_124_valid_date,davinci,keep,0.92,NA,NA
swift,HumanEval_55_fib,davinci,keep,0.06,NA,NA
r,HumanEval_123_get_odd_collatz,davinci,reworded,0.01,0.27,0.99
lua,HumanEval_116_sort_array,davinci,keep,0.00,NA,NA
lua,HumanEval_112_reverse_delete,davinci,keep,0.00,NA,NA
d,HumanEval_54_same_chars,davinci,keep,0.00,NA,NA
ts,HumanEval_21_rescale_to_unit,incoder,keep,0.06,NA,NA
java,HumanEval_115_max_fill,davinci,reworded,0.01,0.27,0.99
lua,HumanEval_91_is_bored,incoder,keep,0.00,NA,NA
js,HumanEval_5_intersperse,davinci,transform,0.40,NA,NA
java,HumanEval_96_count_up_to,davinci,transform,0.63,NA,NA
cs,HumanEval_90_next_smallest,incoder,transform,0.00,NA,NA
php,HumanEval_98_count_upper,incoder,keep,0.00,NA,NA
pl,HumanEval_148_bf,davinci,transform,0.00,NA,NA
ts,HumanEval_63_fibfib,incoder,remove,0.02,NA,NA
rkt,HumanEval_51_remove_vowels,davinci,transform,0.02,NA,NA
pl,HumanEval_39_prime_fib,davinci,remove,0.00,NA,NA
rkt,HumanEval_35_max_element,davinci,remove,0.82,NA,NA
swift,HumanEval_115_max_fill,davinci,reworded,0.06,0.27,0.99
pl,HumanEval_94_skjkasdkd,davinci,reworded,0.08,0.52,1.00
swift,HumanEval_86_anti_shuffle,davinci,reworded,0.71,0.97,1.00
js,HumanEval_6_parse_nested_parens,incoder,remove,0.00,NA,NA
d,HumanEval_63_fibfib,incoder,reworded,0.00,0.00,0.00
pl,HumanEval_25_factorize,davinci,remove,0.00,NA,NA
rkt,HumanEval_130_tri,davinci,reworded,0.01,0.05,0.50
jl,HumanEval_123_get_odd_collatz,incoder,keep,0.00,NA,NA
sh,HumanEval_102_choose_num,incoder,keep,0.00,NA,NA
py,HumanEval_156_int_to_mini_roman,incoder,transform,0.00,NA,NA
ts,HumanEval_159_eat,davinci,keep,0.03,NA,NA
scala,HumanEval_109_move_one_ball,incoder,keep,0.00,NA,NA
cpp,HumanEval_91_is_bored,incoder,transform,0.00,NA,NA
rkt,HumanEval_162_string_to_md5,incoder,transform,0.00,NA,NA
go,HumanEval_59_largest_prime_factor,incoder,remove,0.02,NA,NA
rb,HumanEval_75_is_multiply_prime,davinci,remove,0.04,NA,NA
rs,HumanEval_92_any_int,incoder,remove,0.00,NA,NA
py,HumanEval_21_rescale_to_unit,incoder,reworded,0.88,0.82,1.00
rkt,HumanEval_139_special_factorial,davinci,remove,0.21,NA,NA
py,HumanEval_55_fib,incoder,reworded,0.91,1.00,1.00
scala,HumanEval_147_get_max_triples,incoder,reworded,0.00,0.00,0.00
php,HumanEval_118_get_closest_vowel,incoder,transform,0.00,NA,NA
sh,HumanEval_47_median,davinci,keep,0.03,NA,NA
scala,HumanEval_104_unique_digits,incoder,transform,0.00,NA,NA
py,HumanEval_16_count_distinct_characters,incoder,remove,0.00,NA,NA
js,HumanEval_63_fibfib,incoder,transform,0.12,NA,NA
js,HumanEval_21_rescale_to_unit,incoder,reworded,0.03,0.55,1.00
cs,HumanEval_57_monotonic,davinci,transform,0.97,NA,NA
jl,HumanEval_56_correct_bracketing,davinci,reworded,0.67,1.00,1.00
cs,HumanEval_83_starts_one_ends,davinci,transform,0.00,NA,NA
d,HumanEval_85_add,incoder,keep,0.00,NA,NA
pl,HumanEval_85_add,incoder,reworded,0.00,0.00,0.00
pl,HumanEval_82_prime_length,incoder,transform,0.00,NA,NA
pl,HumanEval_129_minPath,incoder,transform,0.01,NA,NA
cpp,HumanEval_83_starts_one_ends,davinci,keep,0.00,NA,NA
py,HumanEval_163_generate_integers,davinci,reworded,0.00,0.00,0.00
scala,HumanEval_110_exchange,incoder,transform,0.00,NA,NA
cpp,HumanEval_7_filter_by_substring,incoder,remove,1.00,NA,NA
php,HumanEval_93_encode,davinci,keep,0.00,NA,NA
lua,HumanEval_136_largest_smallest_integers,davinci,reworded,0.87,1.00,1.00
cs,HumanEval_29_filter_by_prefix,incoder,keep,0.00,NA,NA
swift,HumanEval_58_common,davinci,reworded,0.41,1.00,1.00
rs,HumanEval_140_fix_spaces,incoder,transform,0.00,NA,NA
ts,HumanEval_155_even_odd_count,davinci,remove,0.00,NA,NA
pl,HumanEval_7_filter_by_substring,davinci,remove,0.95,NA,NA
d,HumanEval_101_words_string,davinci,reworded,0.00,0.19,0.94
lua,HumanEval_44_change_base,incoder,reworded,0.00,0.00,0.00
rb,HumanEval_67_fruit_distribution,davinci,transform,0.02,NA,NA
php,HumanEval_64_vowels_count,davinci,transform,0.06,NA,NA
scala,HumanEval_24_largest_divisor,incoder,transform,0.00,NA,NA
ts,HumanEval_62_derivative,davinci,reworded,1.00,0.95,1.00
php,HumanEval_16_count_distinct_characters,incoder,remove,0.00,NA,NA
rb,HumanEval_19_sort_numbers,incoder,keep,0.00,NA,NA
pl,HumanEval_110_exchange,incoder,transform,0.00,NA,NA
js,HumanEval_26_remove_duplicates,incoder,reworded,0.00,0.23,0.97
cpp,HumanEval_70_strange_sort_list,incoder,reworded,0.00,0.00,0.00
jl,HumanEval_41_car_race_collision,incoder,keep,0.00,NA,NA
go,HumanEval_92_any_int,incoder,transform,0.00,NA,NA
java,HumanEval_144_simplify,incoder,remove,0.00,NA,NA
py,HumanEval_127_intersection,davinci,transform,0.00,NA,NA
swift,HumanEval_144_simplify,davinci,transform,0.05,NA,NA
jl,HumanEval_1_separate_paren_groups,davinci,remove,0.00,NA,NA
sh,HumanEval_90_next_smallest,davinci,reworded,0.16,0.81,1.00
r,HumanEval_21_rescale_to_unit,incoder,reworded,0.00,0.27,0.99
go,HumanEval_94_skjkasdkd,incoder,keep,0.00,NA,NA
js,HumanEval_150_x_or_y,incoder,reworded,0.00,0.00,0.00
ts,HumanEval_102_choose_num,davinci,reworded,0.37,0.99,1.00
rkt,HumanEval_48_is_palindrome,davinci,reworded,0.38,0.57,1.00
cs,HumanEval_104_unique_digits,incoder,reworded,0.00,0.00,0.00
rb,HumanEval_136_largest_smallest_integers,davinci,reworded,0.22,1.00,1.00
php,HumanEval_15_string_sequence,incoder,keep,0.00,NA,NA
py,HumanEval_43_pairs_sum_to_zero,incoder,reworded,0.18,0.31,0.99
cpp,HumanEval_44_change_base,davinci,transform,1.00,NA,NA
rs,HumanEval_112_reverse_delete,davinci,transform,0.36,NA,NA
js,HumanEval_140_fix_spaces,davinci,reworded,0.00,0.19,0.94
php,HumanEval_104_unique_digits,incoder,transform,0.00,NA,NA
go,HumanEval_4_mean_absolute_deviation,incoder,reworded,0.00,0.00,0.00
rb,HumanEval_84_solve,davinci,transform,0.00,NA,NA
java,HumanEval_92_any_int,incoder,remove,0.00,NA,NA
d,HumanEval_99_closest_integer,incoder,remove,0.00,NA,NA
js,HumanEval_69_search,davinci,transform,0.50,NA,NA
sh,HumanEval_134_check_if_last_char_is_a_letter,incoder,reworded,0.00,0.00,0.00
cs,HumanEval_114_minSubArraySum,incoder,reworded,0.00,0.00,0.00
php,HumanEval_108_count_nums,davinci,remove,0.00,NA,NA
rb,HumanEval_90_next_smallest,davinci,remove,0.01,NA,NA
scala,HumanEval_119_match_parens,davinci,remove,0.03,NA,NA
php,HumanEval_99_closest_integer,davinci,reworded,0.00,0.41,1.00
rb,HumanEval_132_is_nested,incoder,keep,0.00,NA,NA
go,HumanEval_82_prime_length,incoder,transform,0.00,NA,NA
pl,HumanEval_1_separate_paren_groups,incoder,transform,0.00,NA,NA
swift,HumanEval_118_get_closest_vowel,davinci,transform,0.00,NA,NA
cs,HumanEval_102_choose_num,incoder,keep,0.00,NA,NA
js,HumanEval_87_get_row,davinci,keep,0.99,NA,NA
rs,HumanEval_1_separate_paren_groups,incoder,keep,0.00,NA,NA
cs,HumanEval_152_compare,incoder,keep,0.00,NA,NA
ts,HumanEval_134_check_if_last_char_is_a_letter,davinci,remove,0.00,NA,NA
cpp,HumanEval_99_closest_integer,davinci,remove,0.57,NA,NA
cs,HumanEval_57_monotonic,davinci,reworded,0.95,1.00,1.00
ts,HumanEval_122_add_elements,incoder,remove,0.00,NA,NA
cs,HumanEval_150_x_or_y,davinci,reworded,0.00,0.27,0.99
ts,HumanEval_46_fib4,davinci,keep,0.10,NA,NA
pl,HumanEval_104_unique_digits,davinci,reworded,0.01,0.73,1.00
scala,HumanEval_34_unique,davinci,reworded,1.00,1.00,1.00
cpp,HumanEval_44_change_base,incoder,keep,0.31,NA,NA
php,HumanEval_98_count_upper,davinci,transform,0.22,NA,NA
ts,HumanEval_11_string_xor,davinci,remove,1.00,NA,NA
cs,HumanEval_71_triangle_area,incoder,transform,0.00,NA,NA
js,HumanEval_151_double_the_difference,incoder,reworded,0.01,0.50,1.00
jl,HumanEval_90_next_smallest,davinci,remove,0.00,NA,NA
jl,HumanEval_41_car_race_collision,davinci,transform,0.00,NA,NA
sh,HumanEval_162_string_to_md5,davinci,remove,0.08,NA,NA
sh,HumanEval_43_pairs_sum_to_zero,incoder,remove,0.00,NA,NA
scala,HumanEval_124_valid_date,davinci,remove,0.87,NA,NA
d,HumanEval_128_prod_signs,davinci,reworded,0.00,0.14,0.88
scala,HumanEval_114_minSubArraySum,incoder,remove,0.00,NA,NA
java,HumanEval_79_decimal_to_binary,davinci,remove,0.50,NA,NA
ts,HumanEval_65_circular_shift,davinci,keep,0.30,NA,NA
go,HumanEval_2_truncate_number,davinci,reworded,0.99,1.00,1.00
lua,HumanEval_109_move_one_ball,incoder,keep,0.00,NA,NA
d,HumanEval_53_add,incoder,remove,0.72,NA,NA
jl,HumanEval_141_file_name_check,davinci,reworded,0.07,0.27,0.99
java,HumanEval_20_find_closest_elements,davinci,keep,0.00,NA,NA
cs,HumanEval_159_eat,davinci,keep,0.00,NA,NA
swift,HumanEval_19_sort_numbers,davinci,reworded,0.18,0.80,1.00
go,HumanEval_18_how_many_times,incoder,transform,0.00,NA,NA
sh,HumanEval_42_incr_list,davinci,transform,0.55,NA,NA
rkt,HumanEval_124_valid_date,davinci,transform,0.00,NA,NA
java,HumanEval_163_generate_integers,davinci,remove,0.00,NA,NA
rs,HumanEval_94_skjkasdkd,incoder,keep,0.00,NA,NA
rb,HumanEval_100_make_a_pile,incoder,keep,0.00,NA,NA
r,HumanEval_78_hex_key,incoder,remove,0.00,NA,NA
scala,HumanEval_81_numerical_letter_grade,davinci,reworded,0.00,0.05,0.50
swift,HumanEval_121_solution,incoder,remove,0.00,NA,NA
swift,HumanEval_23_strlen,davinci,remove,0.03,NA,NA
ts,HumanEval_33_sort_third,incoder,reworded,0.00,0.00,0.00
r,HumanEval_105_by_length,davinci,keep,0.03,NA,NA
sh,HumanEval_12_longest,incoder,transform,0.00,NA,NA
go,HumanEval_155_even_odd_count,incoder,reworded,0.00,0.00,0.00
js,HumanEval_148_bf,davinci,remove,0.94,NA,NA
sh,HumanEval_20_find_closest_elements,incoder,remove,0.00,NA,NA
go,HumanEval_79_decimal_to_binary,incoder,remove,0.00,NA,NA
sh,HumanEval_143_words_in_sentence,incoder,remove,0.00,NA,NA
scala,HumanEval_53_add,incoder,remove,1.00,NA,NA
r,HumanEval_92_any_int,incoder,keep,0.00,NA,NA
rs,HumanEval_153_Strongest_Extension,incoder,transform,0.00,NA,NA
jl,HumanEval_144_simplify,incoder,keep,0.00,NA,NA
rb,HumanEval_107_even_odd_palindrome,davinci,transform,0.13,NA,NA
rb,HumanEval_158_find_max,davinci,transform,0.00,NA,NA
rs,HumanEval_72_will_it_fly,incoder,remove,0.00,NA,NA
swift,HumanEval_122_add_elements,davinci,remove,0.01,NA,NA
rkt,HumanEval_98_count_upper,incoder,remove,0.00,NA,NA
ts,HumanEval_112_reverse_delete,incoder,keep,0.00,NA,NA
scala,HumanEval_5_intersperse,incoder,remove,0.00,NA,NA
js,HumanEval_67_fruit_distribution,davinci,reworded,0.83,1.00,1.00
js,HumanEval_48_is_palindrome,incoder,keep,0.97,NA,NA
py,HumanEval_107_even_odd_palindrome,davinci,reworded,0.21,0.99,1.00
java,HumanEval_111_histogram,davinci,reworded,0.00,0.23,0.97
cpp,HumanEval_53_add,davinci,keep,1.00,NA,NA
rb,HumanEval_2_truncate_number,davinci,keep,0.01,NA,NA
rb,HumanEval_2_truncate_number,incoder,transform,0.12,NA,NA
rkt,HumanEval_18_how_many_times,davinci,keep,0.00,NA,NA
ts,HumanEval_155_even_odd_count,incoder,transform,0.00,NA,NA
ts,HumanEval_81_numerical_letter_grade,davinci,keep,0.01,NA,NA
cs,HumanEval_114_minSubArraySum,incoder,keep,0.00,NA,NA
r,HumanEval_143_words_in_sentence,incoder,remove,0.00,NA,NA
rb,HumanEval_23_strlen,davinci,reworded,1.00,1.00,1.00
r,HumanEval_62_derivative,davinci,remove,0.00,NA,NA
jl,HumanEval_2_truncate_number,davinci,keep,1.00,NA,NA
rkt,HumanEval_1_separate_paren_groups,davinci,keep,0.00,NA,NA
d,HumanEval_77_iscube,incoder,remove,0.00,NA,NA
rkt,HumanEval_68_pluck,incoder,remove,0.00,NA,NA
sh,HumanEval_80_is_happy,davinci,transform,0.73,NA,NA
js,HumanEval_142_sum_squares,incoder,reworded,0.00,0.27,0.99
java,HumanEval_6_parse_nested_parens,davinci,keep,0.76,NA,NA
rb,HumanEval_73_smallest_change,davinci,transform,0.07,NA,NA
cpp,HumanEval_136_largest_smallest_integers,davinci,remove,0.13,NA,NA
cpp,HumanEval_132_is_nested,davinci,remove,0.00,NA,NA
go,HumanEval_102_choose_num,incoder,keep,0.00,NA,NA
sh,HumanEval_16_count_distinct_characters,incoder,remove,0.00,NA,NA
rkt,HumanEval_18_how_many_times,davinci,transform,0.00,NA,NA
jl,HumanEval_100_make_a_pile,davinci,reworded,0.01,0.10,0.75
sh,HumanEval_25_factorize,davinci,transform,0.96,NA,NA
ts,HumanEval_99_closest_integer,davinci,reworded,0.07,0.34,1.00
pl,HumanEval_135_can_arrange,incoder,keep,0.00,NA,NA
lua,HumanEval_21_rescale_to_unit,davinci,transform,0.85,NA,NA
ts,HumanEval_1_separate_paren_groups,incoder,transform,0.00,NA,NA
sh,HumanEval_57_monotonic,davinci,transform,0.46,NA,NA
php,HumanEval_85_add,davinci,transform,0.99,NA,NA
rkt,HumanEval_84_solve,davinci,transform,0.02,NA,NA
rkt,HumanEval_79_decimal_to_binary,incoder,reworded,0.00,0.00,0.00
go,HumanEval_87_get_row,incoder,reworded,0.00,0.00,0.00
php,HumanEval_159_eat,davinci,keep,0.35,NA,NA
sh,HumanEval_96_count_up_to,incoder,transform,0.00,NA,NA
r,HumanEval_0_has_close_elements,davinci,reworded,0.85,1.00,1.00
php,HumanEval_107_even_odd_palindrome,incoder,transform,0.00,NA,NA
php,HumanEval_82_prime_length,incoder,transform,0.14,NA,NA
rb,HumanEval_152_compare,incoder,remove,0.01,NA,NA
rkt,HumanEval_63_fibfib,davinci,transform,0.94,NA,NA
rb,HumanEval_52_below_threshold,davinci,reworded,1.00,1.00,1.00
rkt,HumanEval_7_filter_by_substring,incoder,keep,0.08,NA,NA
java,HumanEval_146_specialFilter,incoder,transform,0.00,NA,NA
lua,HumanEval_145_order_by_points,davinci,transform,0.00,NA,NA
lua,HumanEval_105_by_length,incoder,remove,0.00,NA,NA
js,HumanEval_82_prime_length,davinci,transform,0.13,NA,NA
rs,HumanEval_88_sort_array,incoder,transform,0.00,NA,NA
cpp,HumanEval_139_special_factorial,incoder,remove,0.00,NA,NA
lua,HumanEval_83_starts_one_ends,incoder,reworded,0.00,0.00,0.00
pl,HumanEval_22_filter_integers,davinci,reworded,0.11,0.95,1.00
js,HumanEval_78_hex_key,incoder,transform,0.00,NA,NA
ts,HumanEval_23_strlen,incoder,remove,0.00,NA,NA
rb,HumanEval_58_common,davinci,reworded,0.92,1.00,1.00
rb,HumanEval_18_how_many_times,davinci,remove,0.60,NA,NA
jl,HumanEval_29_filter_by_prefix,incoder,transform,0.03,NA,NA
scala,HumanEval_71_triangle_area,davinci,transform,0.00,NA,NA
php,HumanEval_102_choose_num,incoder,remove,0.05,NA,NA
swift,HumanEval_43_pairs_sum_to_zero,incoder,remove,0.00,NA,NA
lua,HumanEval_30_get_positive,davinci,remove,1.00,NA,NA
rs,HumanEval_91_is_bored,incoder,transform,0.00,NA,NA
swift,HumanEval_130_tri,davinci,transform,0.00,NA,NA
d,HumanEval_4_mean_absolute_deviation,incoder,reworded,0.00,0.00,0.00
java,HumanEval_63_fibfib,davinci,remove,0.90,NA,NA
go,HumanEval_45_triangle_area,davinci,keep,1.00,NA,NA
php,HumanEval_129_minPath,davinci,keep,0.00,NA,NA
java,HumanEval_11_string_xor,davinci,reworded,0.80,1.00,1.00
cs,HumanEval_86_anti_shuffle,incoder,transform,0.00,NA,NA
cs,HumanEval_87_get_row,incoder,reworded,0.00,0.00,0.00
sh,HumanEval_143_words_in_sentence,incoder,reworded,0.00,0.00,0.00
py,HumanEval_115_max_fill,incoder,keep,0.00,NA,NA
rs,HumanEval_99_closest_integer,davinci,keep,0.50,NA,NA
cpp,HumanEval_26_remove_duplicates,incoder,keep,0.00,NA,NA
rs,HumanEval_160_do_algebra,incoder,keep,0.00,NA,NA
sh,HumanEval_148_bf,incoder,keep,0.00,NA,NA
rs,HumanEval_61_correct_bracketing,davinci,transform,1.00,NA,NA
rs,HumanEval_52_below_threshold,incoder,transform,0.34,NA,NA
cs,HumanEval_152_compare,davinci,transform,0.00,NA,NA
py,HumanEval_124_valid_date,incoder,remove,0.00,NA,NA
scala,HumanEval_85_add,incoder,keep,0.00,NA,NA
r,HumanEval_131_digits,incoder,keep,0.00,NA,NA
cs,HumanEval_21_rescale_to_unit,incoder,transform,0.00,NA,NA
jl,HumanEval_92_any_int,incoder,keep,0.00,NA,NA
jl,HumanEval_42_incr_list,davinci,remove,0.95,NA,NA
rkt,HumanEval_111_histogram,davinci,remove,0.00,NA,NA
lua,HumanEval_95_check_dict_case,incoder,transform,0.00,NA,NA
ts,HumanEval_8_sum_product,davinci,remove,1.00,NA,NA
cs,HumanEval_30_get_positive,davinci,keep,0.00,NA,NA
rs,HumanEval_109_move_one_ball,davinci,keep,0.05,NA,NA
py,HumanEval_25_factorize,incoder,transform,0.69,NA,NA
java,HumanEval_163_generate_integers,davinci,reworded,0.00,0.00,0.00
py,HumanEval_58_common,davinci,transform,1.00,NA,NA
go,HumanEval_2_truncate_number,davinci,transform,0.98,NA,NA
lua,HumanEval_135_can_arrange,davinci,remove,0.05,NA,NA
ts,HumanEval_73_smallest_change,davinci,reworded,0.99,1.00,1.00
php,HumanEval_119_match_parens,incoder,keep,0.00,NA,NA
d,HumanEval_102_choose_num,incoder,reworded,0.01,0.00,0.00
ts,HumanEval_43_pairs_sum_to_zero,davinci,remove,0.51,NA,NA
swift,HumanEval_119_match_parens,incoder,keep,0.00,NA,NA
lua,HumanEval_132_is_nested,davinci,keep,0.00,NA,NA
jl,HumanEval_71_triangle_area,incoder,transform,0.00,NA,NA
swift,HumanEval_12_longest,incoder,keep,0.95,NA,NA
ts,HumanEval_135_can_arrange,incoder,keep,0.02,NA,NA
js,HumanEval_76_is_simple_power,incoder,transform,0.00,NA,NA
r,HumanEval_68_pluck,incoder,reworded,0.00,0.00,0.00
ts,HumanEval_1_separate_paren_groups,incoder,reworded,0.00,0.00,0.00
rs,HumanEval_107_even_odd_palindrome,davinci,keep,0.00,NA,NA
pl,HumanEval_29_filter_by_prefix,incoder,transform,0.00,NA,NA
js,HumanEval_93_encode,incoder,remove,0.00,NA,NA
ts,HumanEval_25_factorize,davinci,remove,0.91,NA,NA
cs,HumanEval_26_remove_duplicates,incoder,reworded,0.00,0.00,0.00
go,HumanEval_48_is_palindrome,davinci,remove,0.60,NA,NA
cpp,HumanEval_142_sum_squares,incoder,keep,0.00,NA,NA
pl,HumanEval_76_is_simple_power,davinci,keep,0.05,NA,NA
js,HumanEval_109_move_one_ball,davinci,remove,0.03,NA,NA
r,HumanEval_81_numerical_letter_grade,davinci,reworded,0.03,0.73,1.00
go,HumanEval_138_is_equal_to_sum_even,incoder,keep,0.00,NA,NA
rs,HumanEval_17_parse_music,incoder,keep,0.00,NA,NA
pl,HumanEval_158_find_max,davinci,keep,0.00,NA,NA
ts,HumanEval_93_encode,davinci,remove,0.00,NA,NA
java,HumanEval_148_bf,incoder,reworded,0.00,0.00,0.00
java,HumanEval_115_max_fill,davinci,keep,0.05,NA,NA
d,HumanEval_128_prod_signs,incoder,keep,0.00,NA,NA
rs,HumanEval_121_solution,incoder,remove,0.00,NA,NA
lua,HumanEval_139_special_factorial,davinci,reworded,0.00,0.10,0.75
cpp,HumanEval_47_median,incoder,keep,0.00,NA,NA
scala,HumanEval_116_sort_array,incoder,keep,0.00,NA,NA
py,HumanEval_101_words_string,davinci,transform,0.00,NA,NA
ts,HumanEval_86_anti_shuffle,incoder,keep,0.00,NA,NA
ts,HumanEval_30_get_positive,davinci,reworded,1.00,0.97,1.00
ts,HumanEval_126_is_sorted,davinci,keep,0.00,NA,NA
rs,HumanEval_87_get_row,incoder,keep,0.00,NA,NA
java,HumanEval_139_special_factorial,incoder,transform,0.00,NA,NA
d,HumanEval_40_triples_sum_to_zero,davinci,transform,0.13,NA,NA
cs,HumanEval_47_median,incoder,transform,0.01,NA,NA
java,HumanEval_26_remove_duplicates,incoder,transform,0.00,NA,NA
go,HumanEval_89_encrypt,incoder,reworded,0.00,0.00,0.00
d,HumanEval_130_tri,davinci,transform,0.00,NA,NA
cs,HumanEval_151_double_the_difference,incoder,keep,0.01,NA,NA
ts,HumanEval_120_maximum,incoder,reworded,0.00,0.00,0.00
d,HumanEval_86_anti_shuffle,incoder,keep,0.00,NA,NA
php,HumanEval_60_sum_to_n,davinci,keep,0.99,NA,NA
sh,HumanEval_152_compare,incoder,reworded,0.00,0.10,0.75
js,HumanEval_150_x_or_y,incoder,remove,0.00,NA,NA
swift,HumanEval_124_valid_date,davinci,reworded,0.00,0.64,1.00
scala,HumanEval_156_int_to_mini_roman,davinci,keep,0.92,NA,NA
r,HumanEval_28_concatenate,incoder,transform,0.31,NA,NA
py,HumanEval_77_iscube,davinci,reworded,0.22,0.87,1.00
ts,HumanEval_100_make_a_pile,incoder,reworded,0.00,0.00,0.00
r,HumanEval_95_check_dict_case,davinci,remove,0.01,NA,NA
r,HumanEval_59_largest_prime_factor,davinci,reworded,0.10,0.92,1.00
scala,HumanEval_159_eat,incoder,remove,0.00,NA,NA
scala,HumanEval_133_sum_squares,davinci,keep,0.98,NA,NA
r,HumanEval_147_get_max_triples,davinci,transform,0.83,NA,NA
php,HumanEval_19_sort_numbers,incoder,reworded,0.00,0.00,0.00
go,HumanEval_43_pairs_sum_to_zero,davinci,keep,0.08,NA,NA
js,HumanEval_5_intersperse,davinci,keep,0.50,NA,NA
lua,HumanEval_127_intersection,incoder,keep,0.00,NA,NA
d,HumanEval_149_sorted_list_sum,incoder,transform,0.00,NA,NA
sh,HumanEval_127_intersection,incoder,transform,0.00,NA,NA
go,HumanEval_77_iscube,incoder,keep,0.00,NA,NA
go,HumanEval_109_move_one_ball,davinci,transform,0.01,NA,NA
pl,HumanEval_43_pairs_sum_to_zero,incoder,reworded,0.00,0.00,0.00
rkt,HumanEval_44_change_base,incoder,transform,0.00,NA,NA
jl,HumanEval_79_decimal_to_binary,incoder,transform,0.00,NA,NA
java,HumanEval_10_make_palindrome,incoder,remove,0.00,NA,NA
cpp,HumanEval_123_get_odd_collatz,incoder,remove,0.00,NA,NA
rb,HumanEval_72_will_it_fly,davinci,remove,0.73,NA,NA
ts,HumanEval_57_monotonic,incoder,transform,0.02,NA,NA
js,HumanEval_121_solution,incoder,transform,0.00,NA,NA
rs,HumanEval_138_is_equal_to_sum_even,davinci,keep,0.02,NA,NA
rs,HumanEval_61_correct_bracketing,davinci,keep,1.00,NA,NA
pl,HumanEval_26_remove_duplicates,davinci,transform,0.01,NA,NA
cs,HumanEval_134_check_if_last_char_is_a_letter,davinci,transform,0.10,NA,NA
pl,HumanEval_14_all_prefixes,davinci,transform,0.00,NA,NA
rkt,HumanEval_161_solve,davinci,remove,0.00,NA,NA
java,HumanEval_35_max_element,incoder,reworded,0.96,1.00,1.00
java,HumanEval_18_how_many_times,davinci,keep,0.37,NA,NA
scala,HumanEval_10_make_palindrome,incoder,keep,0.02,NA,NA
r,HumanEval_127_intersection,incoder,keep,0.00,NA,NA
rb,HumanEval_134_check_if_last_char_is_a_letter,davinci,reworded,0.01,0.05,0.50
jl,HumanEval_62_derivative,davinci,keep,0.21,NA,NA
php,HumanEval_153_Strongest_Extension,davinci,keep,0.03,NA,NA
java,HumanEval_127_intersection,davinci,transform,0.00,NA,NA
go,HumanEval_111_histogram,davinci,reworded,0.00,0.14,0.88
cs,HumanEval_54_same_chars,incoder,keep,0.00,NA,NA
cs,HumanEval_84_solve,davinci,reworded,0.00,0.00,0.00
sh,HumanEval_48_is_palindrome,davinci,transform,0.91,NA,NA
cpp,HumanEval_112_reverse_delete,incoder,remove,0.00,NA,NA
d,HumanEval_16_count_distinct_characters,incoder,reworded,0.00,0.00,0.00
cpp,HumanEval_140_fix_spaces,davinci,reworded,0.00,0.10,0.75
java,HumanEval_137_compare_one,davinci,keep,0.00,NA,NA
d,HumanEval_141_file_name_check,davinci,keep,0.00,NA,NA
js,HumanEval_46_fib4,incoder,keep,0.10,NA,NA
rs,HumanEval_58_common,davinci,reworded,1.00,1.00,1.00
go,HumanEval_80_is_happy,davinci,keep,0.20,NA,NA
rkt,HumanEval_59_largest_prime_factor,davinci,keep,0.71,NA,NA
r,HumanEval_128_prod_signs,davinci,transform,0.88,NA,NA
rkt,HumanEval_105_by_length,davinci,transform,0.22,NA,NA
sh,HumanEval_153_Strongest_Extension,davinci,reworded,0.07,0.64,1.00
rkt,HumanEval_83_starts_one_ends,incoder,transform,0.00,NA,NA
cpp,HumanEval_112_reverse_delete,davinci,remove,0.96,NA,NA
r,HumanEval_124_valid_date,davinci,remove,0.45,NA,NA
go,HumanEval_155_even_odd_count,davinci,remove,0.00,NA,NA
